,title,SponsorLevel,discovertotems_link,category,GPS_in_degrees_pair,discovertotems landing page url,GPS_in_scientific_pair,GPS_in_scientific_longitude,GPS_in_scientific_latitude,carvers,description,related_link,picture_link,geocache_link,pubdate,event start date,event end date
,Duncan - Cedar Man Holding Talking Stick,None,http://www.discovertotems.com/content/cedar-man-holding-talking-stick,Totem Pole,,,,,,Richard Hunt,"Duncan's ""Cedar Man Holding Talking Stick"" is the world's largest in diameter totem pole and it's included in the daily guided tours offered from May to Sept.  Self-guided tours are also encouraged with the effective placement of yellow footprints to guide you from one totem to another.  This totem was created in 1988 and sponsored by MacMillan Bloedel",http://www.downtownduncan.ca/duncan_totem_tourNEW.html,http://www.discovertotems.com/sites/discovertotems.com/files/images/Cedar%20Man%20Holding%20Talking%20Stick.JPG,,7/13/2010,,
,Duncan - Eagle with Wind Spirit Insert above Bear holding Halibut,None,http://www.discovertotems.com/content/duncan-eagle-wind-spirit-insert-above-bear-holding-halibut,Totem Pole,,,,,,Doug Lafortune,This is part of a series of totems located in Duncan as part of the Totem Tours.  Carved in 1986 by Doug Lafortune and sponsored by BC Forest Products Ltd,http://www.downtownduncan.ca/duncan_totem_tourNEW.html,http://www.discovertotems.com/sites/discovertotems.com/files/images/DuncanTwo_0.jpg,,7/13/2010,,
,Duncan - Eagle above Killer Whale with Spirit Helper,None,http://www.discovertotems.com/content/eagle-above-killer-whale-spirit-helper,Totem Pole,,,,,,Doug Lafortune,"With more than 80 totems scattered throughout the city, Duncan, British Columbia is deservedly called “The City of Totems”. Between May and September, visitors and locals alike can take the City of Duncan’s free guided walking tour sponsored by the Duncan Business Improvement Area Society. In about an hour, the tour guide gives a brief introduction to First Nations Heritage and some details about the art of carving these magnificent poles. More than three dozen of the totems are featured in the tour, during which visitors will learn the stories behind each one. The Totem Tours are Monday to Friday at 10:00, 11:00, 12:00, 1:00 and 2:00 and start at the Train Station on Canada Ave.",http://www.downtownduncan.ca/duncan_totem_tourNEW.html,http://www.discovertotems.com/sites/discovertotems.com/files/images/eagle%20above%20whale%20with%20spirit%20helper.jpg,,7/13/2010,,
,Duncan - Eagle Below Three Men Watching,None,http://www.discovertotems.com/content/eagle-below-three-men-watching,Totem Pole,,,,,,Francis Horne,"Duncan's ""Eagle Below Three Men Watching "" is one of 80 totems located around Duncan and is part of the daily guided tours offered from May to Sept.  Self-guided tours are also encouraged with the effective placement of yellow footprints to guide you from one totem to another.  This totem was created in 1986",http://www.downtownduncan.ca/duncan_totem_tourNEW.html,http://www.discovertotems.com/sites/discovertotems.com/files/images/Eagle%20below%203%20men%20watching.JPG,,7/13/2010,,
,Duncan - Frog above Kwaguluth Bear holding Kwaguluth,None,http://www.discovertotems.com/content/frog-above-kwaguluth-bear-holding-kwaguluth,Totem Pole,,,,,,Richard Hunt,"With more than 80 totems scattered throughout the city, Duncan, British Columbia is deservedly called “The City of Totems”. Between May and September, visitors and locals alike can take the City of Duncan’s free guided walking tour sponsored by the Duncan Business Improvement Area Society. In about an hour, the tour guide gives a brief introduction to First Nations Heritage and some details about the art of carving these magnificent poles.",http://www.downtownduncan.ca/duncan_totem_tourNEW.html,http://www.discovertotems.com/sites/discovertotems.com/files/images/Bear%20holding%20Kwaguluth.jpg,,7/13/2010,,
,Duncan - Cedar Man Cedar Woman,None,http://www.discovertotems.com/content/cedar-man-cedar-woman,Totem Pole,,,,,,Simon Charlie,"Duncan's ""Cedar Man Cedar Woman "" is one of 80 totems located around Duncan and is part of the daily guided tours offered from May to Sept.  Self-guided tours are also encouraged with the effective placement of yellow footprints to guide you from one totem to another.  This totem was created in 1986 and sponsored by Bow-Mel Motors",http://www.downtownduncan.ca/duncan_totem_tourNEW.html,http://www.discovertotems.com/sites/discovertotems.com/files/images/Cedar%20Man%20Cedar%20Woman.JPG,,7/13/2010,,
,Duncan - Bear with Frogs,None,http://www.discovertotems.com/content/duncan-bear-frogs,Totem Pole,,,,,,Don Smith,"Duncan ""Bear with Frogs"" is one of 80 totems located around Duncan and is part of the daily guided tours offered from May to Sept.  Self-guided tours are also encouraged with the effective placement of yellow footprints to guide you from one totem to another.   Carving completed in 1990",http://www.downtownduncan.ca/duncan_totem_tourNEW.html,http://www.discovertotems.com/sites/discovertotems.com/files/images/duncanthree.jpg,,7/13/2010,,
,Duncan - Raven Above Killer Whale Above Bear,None,http://www.discovertotems.com/content/duncan-raven-above-killer-whale-above-bear,Totem Pole,,,,,,Richard Krentz,"Carved in 1994, by Richard Krentz sponsored by  part of the Duncan Walk of Totems.",http://www.downtownduncan.ca/duncan_totem_tourNEW.html,http://www.discovertotems.com/sites/discovertotems.com/files/images/DuncanOne.jpg,,7/13/2010,,
,Duncan - Eagle Above Whale Holding Calf,None,http://www.discovertotems.com/content/eagle-above-whale-holding-calf,Totem Pole,,,,,,Harvey Alphonse and Kelly Antoine,"Duncan's ""Eagle Above Whale Holding Calf "" is one of 80 totems located around Duncan and is part of the daily guided tours offered from May to Sept.  Self-guided tours are also encouraged with the effective placement of yellow footprints to guide you from one totem to another.  This totem was created in 1985 and sponsored by the Cowichan Band Council",http://www.downtownduncan.ca/duncan_totem_tourNEW.html,http://www.discovertotems.com/sites/discovertotems.com/files/images/eagle%20over%20bear%20holding%20calf.JPG,,7/13/2010,,
,Duncan - Eagle holding Baby Eagle above Human Father holding Son,None,http://www.discovertotems.com/content/eagle-holding-baby-eagle-above-human-father-holding-son,Totem Pole,,,,,,Francis Horne,"Duncan's ""Eagle holding Baby Eagle above Human Father holding Son  "" is one of 80 totems located around Duncan and is part of the daily guided tours offered from May to Sept.  Self-guided tours are also encouraged with the effective placement of yellow footprints to guide you from one totem to another.  This totem was created in 1993 and sponsored by Duncan Electronics",http://www.downtownduncan.ca/duncan_totem_tourNEW.html,http://www.discovertotems.com/sites/discovertotems.com/files/images/Eagle%20with%20BE%20over%20Human%20holding%20son.JPG,,7/13/2010,,
